userid,address,assigned coach,assigned meal plan,birth date,physical problems,default meal plan,email,first name,last name,planid,product,phone number,coach notes about physical problems,daily activity level,days available to workout,current workout days,weight,user device,allergen tags,meal goals,gender,current weight,height,weight goal,dietary restrictions
user_11,"Unit 3330 Box 7319, DPO AE 96241",Coach Diana,Keto,1981-04-23,Ankle sprain,Low Carb,zbarnes@hotmail.com,James,Anderson,plan_3,Weight Gain,527-381-6266,Chronic fatigue,Moderate,"Saturday, Wednesday, Thursday, Tuesday, Monday",6,79.9,Android,Gluten,Maintain Weight,Male,79.9,169.1,85.1,Pescatarian
user_12,"9237 Cross Mountains, Johnsonton, IA 96960",Coach Charlie,Balanced,1965-08-13,Muscle tightness,Vegan,pbrooks@yahoo.com,Christopher,Turner,plan_10,Cardio Booster,4753918238,Ankle sprain,Moderate,"Thursday, Sunday, Tuesday, Wednesday",6,70.3,Garmin,None,Lose Fat,Male,70.3,157.7,79.5,Vegan
user_13,"827 Sharon Via, Smithfort, HI 51139",Coach Bob,Keto,1980-03-13,Carpal tunnel syndrome,Balanced,vincenttaylor@yahoo.com,Danielle,Rios,plan_6,Weight Loss,(019)177-5661x43151,Lower back pain,Low,"Wednesday, Tuesday, Friday, Monday, Thursday, Sunday",1,110.8,Garmin,Peanuts,Improve Stamina,Female,110.8,165.9,98.3,Vegetarian
user_14,"33465 Alexander Summit, East Erica, NH 28418",Coach Diana,Vegan,1973-06-30,Rotator cuff tear,Low Carb,castillozachary@mcbride.com,Timothy,Leonard,plan_9,Healthy Living,(442)209-3763x5916,Lower back pain,Low,"Sunday, Monday, Tuesday, Thursday, Friday, Saturday",0,60.1,Fitbit,Lactose,Build Muscle,Male,60.1,173.0,68.1,Pescatarian
user_15,"Unit 9824 Box 4260, DPO AP 92435",Coach Bob,High Protein,2004-10-15,Hip bursitis,High Protein,belindarodgers@cameron-lucas.net,Mark,Colon,plan_6,Weight Gain,001-477-147-6909,Shoulder impingement,Low,"Monday, Friday, Sunday, Tuesday, Saturday",1,100.6,Android,Lactose,Maintain Weight,Male,100.6,151.9,108.0,Pescatarian
user_16,"88730 Phillips Club Suite 354, Port Patrickmouth, KS 82189",Coach Bob,Low Carb,1998-07-22,Sciatica,Balanced,zgaines@gmail.com,Kaitlyn,Jensen,plan_10,Cardio Booster,+1-732-114-5257x713,Hip bursitis,Moderate,"Sunday, Saturday, Tuesday, Monday, Friday, Wednesday",2,59.2,iPhone,Lactose,Improve Stamina,Female,59.2,162.3,69.0,None
user_17,"USCGC Hardin, FPO AE 16440",Coach Alice,Keto,2004-06-08,Chronic fatigue,Keto,tyler55@yahoo.com,Michael,Montgomery,plan_10,Weight Loss,+1-834-752-7508x238,Plantar fasciitis,Low,"Thursday, Saturday, Friday, Tuesday, Monday",0,59.8,iPhone,Soy,Build Muscle,Male,59.8,170.4,54.1,None
user_18,"0156 Mendez Turnpike, Morrowville, MI 51488",Coach Diana,Low Carb,2005-01-14,Arthritis in joints,Balanced,fosternicole@williams-stanley.info,Amber,Mccoy,plan_8,Healthy Living,+1-298-579-6417,Neck pain,Moderate,"Monday, Tuesday, Sunday, Wednesday, Thursday, Friday",0,53.3,Fitbit,Peanuts,Maintain Weight,Female,53.3,178.2,62.0,Pescatarian
user_19,"76622 Nathan Pines, Lake Crystalborough, NE 92373",Coach Charlie,High Protein,1975-11-06,Plantar fasciitis,Vegan,christopherfields@mcdaniel.org,Shawn,Mendez,plan_2,Weight Gain,+1-723-023-7083x326,Hip bursitis,Moderate,"Friday, Tuesday, Monday, Thursday",5,111.4,Garmin,Gluten,Improve Stamina,Male,111.4,178.5,117.6,Pescatarian
user_20,"9136 Matthew Shoals Apt. 159, Lindachester, GA 31850",Coach Diana,Vegan,1993-10-18,Shin splints,Balanced,dawn25@yahoo.com,Michael,Brown,plan_5,Cardio Booster,001-578-387-7316x2249,Rotator cuff tear,Low,"Wednesday, Saturday, Tuesday, Sunday, Monday, Friday",1,66.4,Apple Watch,Lactose,Improve Stamina,Male,66.4,155.2,71.5,Vegetarian
user_21,"58310 Miles Common Suite 873, Darrenmouth, AR 41362",Coach Alice,Vegan,1991-04-06,Carpal tunnel syndrome,Low Carb,legary@gmail.com,Brenda,Rodgers,plan_1,Weight Loss,001-358-173-4426x73956,Neck pain,Moderate,"Tuesday, Thursday, Friday, Monday",5,83.5,iPhone,Peanuts,Maintain Weight,Female,83.5,175.7,70.3,Vegan
user_22,"52111 Coleman Mission Apt. 543, North Jared, KY 00728",Coach Alice,Balanced,1973-07-11,Carpal tunnel syndrome,Balanced,kellyjo@gmail.com,Abigail,Norris,plan_2,Healthy Living,523-626-1370x329,Plantar fasciitis,Low,"Monday, Saturday, Friday",6,54.1,Fitbit,Peanuts,Maintain Weight,Female,54.1,157.9,60.3,None
user_23,"3030 Briggs Prairie Apt. 419, North Karen, CA 37170",Coach Charlie,Low Carb,1989-04-10,Chronic fatigue,Keto,vhoffman@roberts-palmer.com,Philip,Williams,plan_1,Weight Gain,(101)663-6747,Lower back pain,Low,"Saturday, Monday, Thursday",0,70.6,iPhone,Lactose,Improve Stamina,Male,70.6,150.4,80.1,Pescatarian
user_24,"508 Eric Extensions, Michelehaven, NM 48189",Coach Charlie,Vegan,1967-08-22,Spine disc issue,Balanced,samantha40@hotmail.com,Richard,Vincent,plan_3,Cardio Booster,001-994-542-9911x3411,Knee pain,High,"Tuesday, Wednesday, Sunday, Saturday",6,64.3,Garmin,Gluten,Maintain Weight,Male,64.3,169.2,69.7,None
user_25,"431 Lopez Rest, Millerbury, OR 58181",Coach Diana,Vegan,1969-01-16,Neck pain,Vegan,cooperkrista@gmail.com,Carolyn,Turner,plan_9,Weight Loss,482.086.4705,Neck pain,Low,"Tuesday, Saturday, Monday, Friday, Thursday, Wednesday",4,94.4,Apple Watch,None,Maintain Weight,Female,94.4,157.8,87.8,None
user_26,"7701 Philip Mission Apt. 251, Lake Paul, CO 31241",Coach Diana,Low Carb,1979-05-04,Shin splints,Vegan,bwang@hotmail.com,Brittany,White,plan_6,Healthy Living,(940)663-1495,IT band syndrome,High,"Monday, Wednesday, Saturday, Friday",5,77.9,Fitbit,Gluten,Improve Stamina,Female,77.9,150.8,87.2,None
user_27,"81246 Phelps Lights, Ruizside, MN 24660",Coach Alice,Balanced,1984-07-08,Achilles tendonitis,Low Carb,richardcarter@brown-martin.com,Shannon,Oliver,plan_1,Weight Gain,(588)975-3239x4410,Neck pain,High,"Friday, Wednesday, Sunday, Thursday, Saturday",5,77.9,Apple Watch,Peanuts,Maintain Weight,Female,77.9,157.3,83.4,None
user_28,"809 Donna Stravenue Suite 248, Lake Nicole, MS 90546",Coach Charlie,High Protein,1997-01-08,Knee injury,High Protein,juliacole@gmail.com,Alyssa,Gonzales,plan_5,Cardio Booster,6001613979,Tennis elbow,Low,"Wednesday, Tuesday, Monday",4,69.3,Apple Watch,Lactose,Build Muscle,Female,69.3,169.9,76.3,Pescatarian
user_29,"2921 Brandy Estate, East Rickyville, OH 65107",Coach Charlie,Vegan,1982-01-29,Shin splints,High Protein,knightmelissa@yahoo.com,Julia,Craig,plan_6,Weight Loss,001-909-626-7865,Shin splints,Low,"Monday, Tuesday, Saturday, Sunday, Friday",2,57.1,Fitbit,Lactose,Maintain Weight,Female,57.1,169.2,48.0,Vegetarian
user_30,"94411 Williams Harbor Apt. 613, Paulamouth, KS 89507",Coach Bob,Low Carb,1997-04-18,Hamstring strain,High Protein,brittany74@ramirez-brooks.com,Andrea,Bush,plan_10,Healthy Living,(412)847-3022,Achilles tendonitis,Moderate,"Tuesday, Saturday, Sunday, Monday, Friday, Thursday",1,78.0,Android,Gluten,Lose Fat,Female,78.0,176.7,86.7,Vegan
user_31,"8175 Susan Way Suite 934, South Tracihaven, AK 74458",Coach Charlie,Balanced,1980-12-26,Neck pain,Keto,hayley52@yahoo.com,Michael,Martin,plan_10,Weight Gain,593-617-8951x1647,IT band syndrome,Low,"Saturday, Wednesday, Friday, Tuesday",5,72.2,Garmin,Soy,Lose Fat,Male,72.2,159.4,79.0,Vegan
user_32,"3911 Carey Villages Suite 668, Mooreburgh, IL 96499",Coach Diana,Vegan,1983-05-15,Chronic fatigue,Low Carb,xharvey@stewart-martinez.com,Jasmine,Doyle,plan_5,Cardio Booster,953-085-6936x20878,Achilles tendonitis,Low,"Wednesday, Tuesday, Saturday, Sunday, Monday, Friday",6,68.2,Fitbit,None,Maintain Weight,Female,68.2,166.5,74.9,Vegetarian
user_33,"11448 Hill Motorway, Amyland, RI 22757",Coach Alice,Vegan,1975-04-24,Ankle sprain,Vegan,wardkelsey@taylor.org,Cheryl,Sanders,plan_5,Weight Loss,923.981.9908,IT band syndrome,Moderate,"Sunday, Wednesday, Monday, Friday, Saturday",3,106.0,iPhone,Lactose,Maintain Weight,Female,106.0,150.4,99.5,Vegan
user_34,"842 Richard Hill, Thompsonborough, DC 40260",Coach Bob,Balanced,2002-01-16,Carpal tunnel syndrome,Keto,herrerabrittany@freeman-graham.biz,Heather,Mclean,plan_8,Healthy Living,001-710-074-3505x44377,IT band syndrome,High,"Saturday, Friday, Wednesday",1,58.4,Fitbit,Gluten,Lose Fat,Female,58.4,162.4,68.3,Pescatarian
user_35,"7967 Foster Cove, North Amandaview, MI 88809",Coach Charlie,High Protein,1981-11-05,Knee injury,Vegan,stephanielewis@gmail.com,Nancy,Fox,plan_4,Weight Gain,977.004.3175,Knee injury,High,"Tuesday, Thursday, Wednesday, Friday, Monday",1,64.9,iPhone,Gluten,Lose Fat,Female,64.9,168.4,74.1,None
user_36,"925 Ronald Rest Apt. 554, Barbaraside, WA 79366",Coach Alice,Keto,1997-07-06,Hamstring strain,Balanced,sabrinawright@martinez-stevens.org,Sarah,Campbell,plan_8,Cardio Booster,280-926-0024x66564,Neck pain,Moderate,"Sunday, Monday, Friday, Saturday",0,106.9,Fitbit,Soy,Build Muscle,Female,106.9,171.9,113.8,None
user_37,"8524 Phillips Trace Apt. 631, South Michael, LA 36143",Coach Diana,Vegan,2003-11-30,Knee injury,Low Carb,jesse92@pittman-mitchell.com,Justin,Chavez,plan_6,Weight Loss,8626174583,Neck pain,High,"Friday, Saturday, Sunday, Tuesday, Thursday, Monday",6,112.4,Android,Peanuts,Maintain Weight,Male,112.4,166.0,97.6,Vegan
user_38,"959 Mcclure Unions, North Edwardmouth, GA 19922",Coach Diana,Balanced,1973-11-24,Arthritis in joints,Balanced,ruizmartin@mckenzie-greene.net,Krystal,Steele,plan_5,Healthy Living,790-163-4054x731,Hamstring strain,High,"Wednesday, Friday, Tuesday, Sunday, Thursday",5,53.7,Android,Soy,Lose Fat,Female,53.7,165.4,62.9,None
user_39,"0958 Webb Gateway, West Veronica, CA 43457",Coach Bob,Balanced,1974-10-21,Muscle tightness,High Protein,pgarcia@hobbs-smith.net,Robert,Jensen,plan_8,Weight Gain,(192)513-6799,Hamstring strain,Low,"Saturday, Thursday, Tuesday, Friday, Monday, Sunday",1,105.0,Fitbit,Soy,Build Muscle,Male,105.0,179.9,112.9,Vegan
user_40,"9545 Pope Ridge, Justinberg, VA 76018",Coach Alice,Low Carb,1983-05-18,Hamstring strain,Keto,tina86@hopkins.com,Pamela,Jackson,plan_9,Cardio Booster,578.520.3742,Hamstring strain,Low,"Saturday, Tuesday, Monday, Thursday",3,113.0,iPhone,Lactose,Build Muscle,Female,113.0,166.6,122.9,Pescatarian
user_41,"2157 Andrade Place Suite 682, North Brianview, KY 02635",Coach Bob,High Protein,1990-10-04,Arthritis in joints,Keto,alexander50@hotmail.com,Patricia,Gregory,plan_4,Weight Loss,261-354-7263x9979,Spine disc issue,Low,"Thursday, Monday, Friday, Saturday, Sunday",6,115.4,Apple Watch,None,Build Muscle,Female,115.4,176.0,102.6,None
user_42,"183 Michelle Knoll, North Shannonborough, PA 14001",Coach Alice,Vegan,1979-11-23,Tennis elbow,Vegan,hrivera@yahoo.com,John,Simmons,plan_8,Healthy Living,(364)526-8877,Muscle tightness,Low,"Sunday, Wednesday, Monday",5,73.0,Apple Watch,Gluten,Lose Fat,Male,73.0,175.7,79.5,Vegan
user_43,"76094 Joseph Mills Apt. 943, New Scottbury, CA 49079",Coach Bob,High Protein,1964-05-20,Achilles tendonitis,Vegan,perezkatherine@gmail.com,Carla,Garcia,plan_9,Weight Gain,073.714.0699,Lower back pain,Low,"Thursday, Monday, Saturday, Sunday",5,75.8,Apple Watch,Soy,Build Muscle,Female,75.8,163.3,83.6,Pescatarian
user_44,"6666 Anderson Ports Suite 018, Daychester, TX 06216",Coach Diana,Vegan,1993-12-01,Spine disc issue,High Protein,stephanieorr@hotmail.com,Jordan,Campbell,plan_1,Cardio Booster,002-010-8904x783,Achilles tendonitis,Low,"Wednesday, Monday, Thursday, Friday, Tuesday, Saturday",2,70.6,Android,Lactose,Improve Stamina,Male,70.6,172.5,77.7,Vegan
user_45,"845 West Square Suite 935, Lake Mercedestown, OR 37459",Coach Bob,Low Carb,1982-04-19,Knee pain,Keto,rileymichael@yahoo.com,Kristina,Nunez,plan_2,Weight Loss,+1-166-744-5097,Arthritis in joints,Moderate,"Wednesday, Tuesday, Monday",2,79.1,iPhone,None,Lose Fat,Female,79.1,164.2,64.8,Vegan
user_46,"300 Nicole Plaza Apt. 458, South Keith, IN 59057",Coach Alice,Keto,1965-12-27,IT band syndrome,High Protein,pennybrown@sanders-johnson.com,Allison,Lopez,plan_10,Healthy Living,035.235.5252x508,Achilles tendonitis,Moderate,"Monday, Sunday, Wednesday, Friday",0,101.4,Apple Watch,Gluten,Improve Stamina,Female,101.4,158.5,107.3,Vegan
user_47,"24957 Maddox Glen Apt. 884, Lake Tara, SD 63824",Coach Diana,Low Carb,1964-07-19,Achilles tendonitis,High Protein,gilbertcarl@johnson.biz,Steven,Rios,plan_7,Weight Gain,598.390.9323x64581,Chronic fatigue,Moderate,"Saturday, Wednesday, Tuesday, Thursday, Sunday, Monday",1,117.5,Fitbit,Peanuts,Lose Fat,Male,117.5,177.0,125.5,Vegetarian
user_48,"5600 Orr River, Clarketown, OH 53630",Coach Diana,Balanced,1999-10-06,Neck pain,Keto,vthompson@gmail.com,Jennifer,Buchanan,plan_8,Cardio Booster,086-513-8872x7268,IT band syndrome,Moderate,"Monday, Friday, Tuesday, Sunday",0,88.9,Android,Gluten,Improve Stamina,Female,88.9,156.8,95.4,Vegan
user_49,"808 Robertson Street, Carlview, NC 20695",Coach Bob,High Protein,1966-03-19,IT band syndrome,Balanced,warrenarthur@gmail.com,Shelley,Gonzales,plan_9,Weight Loss,762-754-9413x42105,Muscle tightness,Low,"Saturday, Tuesday, Wednesday, Sunday",6,54.9,iPhone,None,Maintain Weight,Female,54.9,178.8,47.8,Vegan
user_50,"41257 Neal Square, Stevensonshire, NC 59276",Coach Diana,Vegan,1985-06-27,Carpal tunnel syndrome,Vegan,franklinlawrence@jones.net,Amy,Delgado,plan_8,Healthy Living,+1-089-756-8187x816,Knee injury,High,"Sunday, Monday, Friday, Thursday",0,71.3,Android,Peanuts,Improve Stamina,Female,71.3,172.0,77.9,None
user_51,"25436 Courtney Ranch Suite 129, South Janethaven, DE 15176",Coach Bob,Keto,1988-04-08,Plantar fasciitis,Keto,allenmichele@park.info,Julia,Martinez,plan_4,Weight Gain,(875)082-1381x56160,Tennis elbow,High,"Saturday, Wednesday, Thursday",1,89.6,Fitbit,Soy,Lose Fat,Female,89.6,171.1,95.8,Vegetarian
user_52,"6475 Cathy Forges, Christopherborough, OH 17678",Coach Diana,Keto,1978-02-10,Carpal tunnel syndrome,Balanced,eatonmichael@gmail.com,Tiffany,Rodriguez,plan_6,Cardio Booster,+1-585-040-7713x31714,Plantar fasciitis,Low,"Saturday, Sunday, Thursday, Monday, Tuesday, Friday",0,69.1,Fitbit,None,Lose Fat,Female,69.1,162.8,76.8,Vegan
user_53,"7011 Smith Isle Apt. 354, West Lauren, OH 43355",Coach Bob,Keto,1970-10-27,IT band syndrome,Vegan,justinhayes@gmail.com,Michele,King,plan_6,Weight Loss,+1-912-745-2444x24640,Knee injury,Moderate,"Monday, Saturday, Thursday, Friday",1,108.2,iPhone,None,Build Muscle,Female,108.2,164.5,102.8,Vegan
user_54,"639 Peterson Forges, Frankhaven, NE 86361",Coach Bob,Low Carb,1987-06-07,Rotator cuff tear,Vegan,ryantiffany@gmail.com,Deborah,Rodriguez,plan_6,Healthy Living,+1-081-696-7636x5892,Muscle tightness,Low,"Saturday, Sunday, Thursday, Wednesday, Monday, Friday",2,59.5,Garmin,Lactose,Lose Fat,Female,59.5,170.7,65.9,Vegetarian
user_55,"0682 Castillo Burgs Apt. 608, Georgefort, MA 82490",Coach Bob,Low Carb,1977-03-30,Shin splints,High Protein,kenneth76@yahoo.com,Beth,Stone,plan_10,Weight Gain,(864)044-8595x95318,Achilles tendonitis,High,"Tuesday, Saturday, Monday, Sunday, Wednesday",1,118.8,Fitbit,Soy,Lose Fat,Female,118.8,175.9,125.8,Vegetarian
user_56,"PSC 0196, Box 3230, APO AE 57316",Coach Alice,Balanced,1988-06-19,Neck pain,High Protein,theodoreyoung@yahoo.com,Stephanie,Banks,plan_2,Cardio Booster,736-263-5278x12072,IT band syndrome,Moderate,"Tuesday, Sunday, Friday, Saturday, Wednesday, Monday",2,111.1,iPhone,Soy,Maintain Weight,Female,111.1,152.0,117.0,Vegetarian
user_57,"6101 Ruiz Haven Suite 127, Erinbury, VA 83723",Coach Charlie,Keto,1980-03-02,Knee pain,Low Carb,cervantesamy@hotmail.com,Dawn,Roberts,plan_10,Weight Loss,892.810.1089,Achilles tendonitis,Moderate,"Tuesday, Sunday, Thursday, Friday",4,82.9,Android,Soy,Lose Fat,Female,82.9,175.1,69.7,Vegetarian
user_58,"57968 Stone Locks, Port Sandra, RI 69006",Coach Bob,Balanced,1967-04-14,Sciatica,Vegan,mhernandez@hotmail.com,Kelly,Griffith,plan_2,Healthy Living,3220483031,Arthritis in joints,Low,"Wednesday, Tuesday, Sunday, Saturday, Monday, Friday",6,112.0,Fitbit,Soy,Maintain Weight,Female,112.0,174.9,119.5,None
user_59,"33930 Barnes Mountains, Lake Ronald, NM 86482",Coach Alice,Low Carb,2002-11-08,Lower back pain,Keto,rodriguezpeter@baird.org,Sara,Chang,plan_4,Weight Gain,(851)159-8812x3071,Chronic fatigue,High,"Sunday, Tuesday, Friday, Monday, Thursday",1,62.3,Garmin,None,Lose Fat,Female,62.3,166.4,69.4,Vegan
user_60,"4261 Perez Wells, South Heidi, DE 70798",Coach Alice,Vegan,1994-03-14,Plantar fasciitis,Low Carb,gilesbrandi@gmail.com,Miranda,Johnson,plan_6,Cardio Booster,001-480-123-7753x0154,Arthritis in joints,Low,"Wednesday, Thursday, Monday, Sunday, Tuesday, Saturday",3,117.3,Android,Lactose,Lose Fat,Female,117.3,175.0,126.3,None
user_61,"09775 Foster Overpass, South Michael, NV 34444",Coach Diana,Balanced,1997-03-12,Achilles tendonitis,Balanced,angelakelley@gonzales.com,Patricia,Ruiz,plan_2,Weight Loss,(447)864-6343x77321,IT band syndrome,Low,"Thursday, Tuesday, Monday, Sunday",4,109.4,Fitbit,Soy,Lose Fat,Female,109.4,166.1,95.7,None
user_62,"7625 Allen Harbor, New Amanda, PA 37946",Coach Alice,Vegan,2001-02-07,Spine disc issue,Keto,sheliacarroll@morgan.com,Megan,Garcia,plan_4,Healthy Living,095.101.5933x2527,Spine disc issue,Moderate,"Monday, Sunday, Thursday",5,102.4,Garmin,Lactose,Maintain Weight,Female,102.4,176.7,109.5,Pescatarian
user_63,"9493 Jose View, New Candicefort, DE 45003",Coach Diana,High Protein,2004-12-11,Shoulder impingement,Balanced,reedjessica@gmail.com,Juan,Jackson,plan_5,Weight Gain,1832923946,Ankle sprain,Moderate,"Monday, Tuesday, Wednesday, Friday",4,110.8,Android,None,Build Muscle,Male,110.8,176.0,120.8,Vegetarian
user_64,"2929 Steven Trail, New Jesusside, MD 21839",Coach Charlie,Vegan,1994-04-17,Knee pain,Low Carb,mcollins@butler.info,Samantha,Gonzales,plan_5,Cardio Booster,(662)218-2581,Shoulder impingement,High,"Thursday, Monday, Friday, Saturday",2,67.6,Apple Watch,Peanuts,Improve Stamina,Female,67.6,170.0,73.1,Pescatarian
user_65,"284 Jeffrey Brooks, Andreaberg, CO 11923",Coach Diana,Balanced,1983-11-20,Plantar fasciitis,Balanced,iharris@gmail.com,Christine,Richardson,plan_10,Weight Loss,187-848-1147x07948,Carpal tunnel syndrome,Low,"Thursday, Saturday, Wednesday, Sunday, Friday",3,56.4,Apple Watch,Lactose,Improve Stamina,Female,56.4,169.6,50.9,Pescatarian
user_66,"7726 Joyce Mount Apt. 254, Rossmouth, CT 87570",Coach Alice,Keto,2002-02-13,Shin splints,Balanced,charlesjoseph@gmail.com,Lee,Daniels,plan_1,Healthy Living,(826)548-1936x418,Knee pain,Low,"Sunday, Saturday, Monday, Wednesday, Tuesday",1,59.9,Fitbit,Gluten,Maintain Weight,Male,59.9,169.6,65.6,Pescatarian
user_67,"2508 James Rapids Suite 660, Sotoland, TX 22116",Coach Diana,Keto,1997-10-15,Achilles tendonitis,High Protein,joshuaprice@moore.com,Vickie,Miller,plan_3,Weight Gain,+1-107-426-1142,Tennis elbow,Low,"Friday, Wednesday, Saturday, Tuesday",6,66.4,Garmin,Soy,Lose Fat,Female,66.4,176.4,74.8,None
user_68,"916 Rodriguez Road, East Keith, NV 47905",Coach Diana,Vegan,1996-02-23,IT band syndrome,Low Carb,molinajesse@hughes.org,Margaret,Thompson,plan_4,Cardio Booster,200-603-7280,Spine disc issue,Low,"Friday, Tuesday, Wednesday, Sunday",0,102.6,Garmin,Peanuts,Maintain Weight,Female,102.6,174.6,109.1,Vegan
user_69,"602 Williams Brooks Apt. 653, Brandonport, IA 52553",Coach Bob,Keto,1966-06-14,Achilles tendonitis,Low Carb,berryandrew@yahoo.com,Alexis,Gonzalez,plan_5,Weight Loss,109-108-9986,Spine disc issue,Moderate,"Sunday, Thursday, Wednesday, Tuesday, Friday, Monday",6,57.4,iPhone,None,Maintain Weight,Female,57.4,176.6,46.0,Pescatarian
user_70,"807 Lawson Locks, Lake Karen, AR 55544",Coach Bob,Vegan,1989-12-03,Neck pain,Low Carb,tracyrobertson@wong.org,Robin,Parker,plan_6,Healthy Living,897-651-6557,IT band syndrome,Low,"Sunday, Saturday, Tuesday, Thursday, Wednesday, Monday",6,63.7,Apple Watch,Lactose,Maintain Weight,Female,63.7,164.2,72.1,Vegetarian
user_71,"70257 Thomas Valley, Drakeburgh, MT 72252",Coach Alice,Keto,1995-07-08,Carpal tunnel syndrome,Balanced,mary91@hotmail.com,Misty,Gordon,plan_2,Weight Gain,556.277.3660x690,Achilles tendonitis,High,"Friday, Sunday, Monday, Wednesday",5,119.7,Fitbit,None,Improve Stamina,Female,119.7,179.8,129.2,Vegan
user_72,"54971 Vincent Rest Apt. 336, West Amanda, TN 43039",Coach Diana,Balanced,1981-05-26,Achilles tendonitis,Keto,rkirk@pham.com,Amy,Miller,plan_7,Cardio Booster,2598379163,Arthritis in joints,High,"Friday, Saturday, Thursday, Wednesday, Tuesday",4,77.3,Apple Watch,Peanuts,Build Muscle,Female,77.3,150.5,87.2,Pescatarian
user_73,"60616 Jeffrey Branch Suite 989, New Tinamouth, PA 65657",Coach Diana,Keto,1990-05-29,Ankle sprain,High Protein,eolson@hatfield.com,Tamara,Thomas,plan_4,Weight Loss,+1-169-936-3434,Tennis elbow,Moderate,"Wednesday, Tuesday, Saturday, Thursday, Friday, Monday",4,88.3,Fitbit,Soy,Build Muscle,Female,88.3,173.5,76.5,None
user_74,"2196 David Loop Suite 711, Lake Anthonyland, WA 71681",Coach Charlie,Low Carb,1977-06-21,Carpal tunnel syndrome,Keto,nicholasconner@day.com,Laurie,Phillips,plan_3,Healthy Living,(708)286-3090x2604,Arthritis in joints,High,"Thursday, Wednesday, Sunday, Friday",4,85.7,Garmin,Gluten,Build Muscle,Female,85.7,167.7,92.6,None
